"Nazwa kampanii",Dzień,"Kliknięcia linku",Zasięg,Wyświetlenia,"Typ wyniku",Wyniki,Koszt/wynik,"Wydana kwota (PLN)","Początek okresu raportowania","Koniec okresu raportowania"
"[FB] ASM - Ciągniki 6155M",2025-02-09,18,3966,6754,,,,105.12,2025-02-09,2025-02-09
"[FB] Serwis - kontakty",2025-02-09,,612,834,,,,5.77,2025-02-09,2025-02-09
"[FB] Ciągniki 8RX - ruch www",2025-02-09,13,3045,4417,"Wyświetlenia strony docelowej",6,2.63166667,15.79,2025-02-09,2025-02-09
"[FB] Ciągniki - Używane jak nowe - YU",2025-02-09,20,2703,3589,,,,50.66,2025-02-09,2025-02-09
"[FB] ASM - Wydarzenie - Webinar",2025-02-09,4,1862,2708,"Reakcje na zaproszenia na wydarzenia",5,3.47,17.35,2025-02-09,2025-02-09
"[FB] Prasy",2025-02-09,14,3622,4919,"Kontakty w Meta",1,70.85,70.85,2025-02-09,2025-02-09
"[FB] Kosiarki - ruch www",2025-02-09,18,1985,2470,"Wyświetlenia strony docelowej",9,1.71777778,15.46,2025-02-09,2025-02-09
"[FB] Ciągniki - Seria 5 - ruch www",2025-02-09,31,2984,3315,"Wyświetlenia strony docelowej",8,1.31125,10.49,2025-02-09,2025-02-09
"[FB] Vaderstad - uprawowe - ruch www",2025-02-09,19,3360,4469,"Wyświetlenia strony docelowej",12,1.28333333,15.4,2025-02-09,2025-02-09
"[FB] Vaderstad - uprawowe - konwersje www",2025-02-09,12,1500,2194,,,,24.8,2025-02-09,2025-02-09
"[FB] Opryskiwacze - ruch www",2025-02-09,9,2467,3002,"Wyświetlenia strony docelowej",5,2.154,10.77,2025-02-09,2025-02-09
"[FB] Ciągniki 9RX - ruch www",2025-02-09,67,3629,4037,"Wyświetlenia strony docelowej",47,0.35021277,16.46,2025-02-09,2025-02-09
"[FB] Części - połączenia",2025-02-09,8,2663,3758,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,20.24,20.24,2025-02-09,2025-02-09
"[FB] Monosem - kontakty",2025-02-09,2,1221,1508,,,,16.3,2025-02-09,2025-02-09
"[FB] Monosem - ruch www",2025-02-09,14,2855,3166,"Wyświetlenia strony docelowej",7,2.38285714,16.68,2025-02-09,2025-02-09
"[FB] Skontakuj się z nami - messenger",2025-02-09,9,761,1040,,,,5.74,2025-02-09,2025-02-09
"[FB] Ciągniki 6M250 - ruch www",2025-02-09,32,6893,8654,"Wyświetlenia strony docelowej",23,1.39347826,32.05,2025-02-09,2025-02-09
"[FB] Kramer - ruch www",2025-02-09,23,2859,3724,"Wyświetlenia strony docelowej",20,0.777,15.54,2025-02-09,2025-02-09
"[FB] Joskin - wyprzedaż",2025-02-09,5,1266,1719,,,,24.55,2025-02-09,2025-02-09
"[FB] Ciągniki 8RX - formularz",2025-02-09,6,1252,1856,"Kontakty w Meta",1,35.39,35.39,2025-02-09,2025-02-09
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-02-09,24,2867,3189,"Wyświetlenia strony docelowej",14,1.16,16.24,2025-02-09,2025-02-09
"[FB] Joskin - konwersje www",2025-02-09,6,929,1151,,,,11.06,2025-02-09,2025-02-09
"[FB] Kombajn popokazowy - ruch www - YU",2025-02-09,9,811,2123,"Wyświetlenia strony docelowej",3,5.41333333,16.24,2025-02-09,2025-02-09
"[FB] Oddziały - zasięg",2025-02-09,,15161,17127,Zasięg,15161,2.81841567,42.73,2025-02-09,2025-02-09
"[FB] Ciągniki Seria 6M - formularz",2025-02-08,12,2937,4908,,,,78.27,2025-02-08,2025-02-08
"[FB] ASM - OSWN",2025-02-08,36,4902,7399,"Wyświetlenia strony docelowej",26,1.25653846,32.67,2025-02-08,2025-02-08
"[FB] ASM Pagelike",2025-02-08,1,1593,2122,"Obserwatorzy lub polubienia na Facebooku",4,2.8625,11.45,2025-02-08,2025-02-08
"[FB] Kombajny - popokazowy - formularz - YU",2025-02-08,1,550,668,,,,13.4,2025-02-08,2025-02-08
"[FB] Kverneland",2025-02-08,1,673,876,,,,17.93,2025-02-08,2025-02-08
"[FB] Serwis - połączenia",2025-02-08,12,1801,2283,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,10.41,10.41,2025-02-08,2025-02-08
"[FB] Serwis - ruch www",2025-02-08,11,1056,1331,"Wyświetlenia strony docelowej",9,0.53,4.77,2025-02-08,2025-02-08
"[FB] Seriws - zasięg",2025-02-08,,34,34,Zasięg,34,45.88235294,1.56,2025-02-08,2025-02-08
"[FB] Ciągniki 7R - ruch www",2025-02-08,7,1332,1559,"Wyświetlenia zawartości witryny",1,9.82,9.82,2025-02-08,2025-02-08
"[FB] ASM Ciągniki 6120M",2025-02-08,4,1667,2612,,,,21.82,2025-02-08,2025-02-08
"[FB] ASM - Ciągniki 6155M",2025-02-08,24,3255,5533,,,,88.65,2025-02-08,2025-02-08
"[FB] ASM Vaderstad finansowanie",2025-02-08,3,670,950,,,,17.25,2025-02-08,2025-02-08
"[FB] ASM - Ciągniki 7R - formularz",2025-02-08,9,1632,2685,,,,55.59,2025-02-08,2025-02-08
"[FB]  ASM - Ciągniki – 6195M",2025-02-08,33,3646,5901,,,,94.56,2025-02-08,2025-02-08
"[FB] ASM - Kombajny serii T",2025-02-08,,112,299,,,,6.52,2025-02-08,2025-02-08
"[FB]  ASM - Kramer",2025-02-08,42,6251,7808,,,,95.49,2025-02-08,2025-02-08
"[FB] ASM Kampania Serwis Oddziały",2025-02-08,26,19758,22415,Zasięg,19758,2.04271687,40.36,2025-02-08,2025-02-08
"[FB] ASM SaMASZ",2025-02-08,4,593,857,,,,12.85,2025-02-08,2025-02-08
"[FB] ASM - Kombajn X9",2025-02-08,6,1943,2863,,,,96.34,2025-02-08,2025-02-08
"[FB] Remarketing",2025-02-08,59,7130,12658,"Szacunkowa liczba kliknięć potwierdzających połączenie",6,13.15833333,78.95,2025-02-08,2025-02-08
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-02-08,21,5956,8187,,,,104.99,2025-02-08,2025-02-08
"[FB] Rolnictwo precyzyjne",2025-02-08,11,2089,3332,"Kontakty w Meta",1,75.33,75.33,2025-02-08,2025-02-08
"[FB] Ciągniki Ogólne - ruch www",2025-02-08,15,2149,2724,"Wyświetlenia strony docelowej",4,3.7675,15.07,2025-02-08,2025-02-08
"[FB] Serwis - kontakty",2025-02-08,2,453,603,,,,4.76,2025-02-08,2025-02-08
"[FB] Ciągniki - Używane jak nowe - YU",2025-02-08,15,2416,3193,,,,43.2,2025-02-08,2025-02-08
"[FB] Ciągniki 8RX - ruch www",2025-02-08,14,2827,3925,"Wyświetlenia strony docelowej",8,1.9,15.2,2025-02-08,2025-02-08
"[FB] Skontakuj się z nami - messenger",2025-02-08,10,680,950,,,,5.65,2025-02-08,2025-02-08
"[FB] ASM - Wydarzenie - Webinar",2025-02-08,7,1732,2491,"Reakcje na zaproszenia na wydarzenia",7,1.96428571,13.75,2025-02-08,2025-02-08
"[FB] Prasy",2025-02-08,11,1452,1996,,,,53.53,2025-02-08,2025-02-08
"[FB] Kosiarki - ruch www",2025-02-08,12,1872,2190,"Wyświetlenia strony docelowej",5,3.078,15.39,2025-02-08,2025-02-08
"[FB] Ciągniki - Seria 5 - ruch www",2025-02-08,32,2633,3007,"Wyświetlenia strony docelowej",9,1.15111111,10.36,2025-02-08,2025-02-08
"[FB] Vaderstad - uprawowe - ruch www",2025-02-08,23,3402,4431,"Wyświetlenia strony docelowej",13,1.22538462,15.93,2025-02-08,2025-02-08
"[FB] Części - połączenia",2025-02-08,12,2857,4105,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,12.915,25.83,2025-02-08,2025-02-08
"[FB] Opryskiwacze - ruch www",2025-02-08,7,2285,2628,"Wyświetlenia strony docelowej",2,4.825,9.65,2025-02-08,2025-02-08
"[FB] Ciągniki 9RX - ruch www",2025-02-08,40,2847,3297,"Wyświetlenia strony docelowej",28,0.52964286,14.83,2025-02-08,2025-02-08
"[FB] Vaderstad - uprawowe - konwersje www",2025-02-08,10,964,1434,,,,14.19,2025-02-08,2025-02-08
"[FB] Monosem - kontakty",2025-02-08,6,1111,1335,,,,14.1,2025-02-08,2025-02-08
"[FB] Monosem - ruch www",2025-02-08,17,2559,2959,"Wyświetlenia strony docelowej",8,1.78875,14.31,2025-02-08,2025-02-08
"[FB] Ciągniki 6M250 - ruch www",2025-02-08,27,5861,7173,"Wyświetlenia strony docelowej",11,2.61818182,28.8,2025-02-08,2025-02-08
"[FB] Kramer - ruch www",2025-02-08,12,2842,3519,"Wyświetlenia strony docelowej",9,1.71777778,15.46,2025-02-08,2025-02-08
"[FB] Joskin - wyprzedaż",2025-02-08,6,1024,1297,,,,18.64,2025-02-08,2025-02-08
"[FB] Ciągniki 8RX - formularz",2025-02-08,1,710,1048,,,,23.65,2025-02-08,2025-02-08
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-02-08,24,2645,2943,"Wyświetlenia strony docelowej",14,1.07071429,14.99,2025-02-08,2025-02-08
"[FB] Joskin - konwersje www",2025-02-08,5,769,1024,,,,8.65,2025-02-08,2025-02-08
"[FB] Kombajn popokazowy - ruch www - YU",2025-02-08,5,653,1690,"Wyświetlenia strony docelowej",4,3.58,14.32,2025-02-08,2025-02-08
"[FB] Oddziały - zasięg",2025-02-08,1,14863,16154,Zasięg,14863,2.85608558,42.45,2025-02-08,2025-02-08
"[FB] ASM Vaderstad finansowanie",2025-02-07,1,668,917,,,,15.32,2025-02-07,2025-02-07
"[FB] ASM Pagelike",2025-02-07,6,1605,1909,"Obserwatorzy lub polubienia na Facebooku",2,5.935,11.87,2025-02-07,2025-02-07
"[FB] Kombajny - popokazowy - formularz - YU",2025-02-07,1,522,686,,,,14.5,2025-02-07,2025-02-07
"[FB] Kverneland",2025-02-07,2,740,1023,,,,19.02,2025-02-07,2025-02-07
"[FB] Serwis - połączenia",2025-02-07,16,2047,2479,"Szacunkowa liczba kliknięć potwierdzających połączenie",3,3.37666667,10.13,2025-02-07,2025-02-07
"[FB] Serwis - ruch www",2025-02-07,6,1048,1469,"Wyświetlenia strony docelowej",4,1.19,4.76,2025-02-07,2025-02-07
"[FB] Seriws - zasięg",2025-02-07,,38,41,Zasięg,38,82.10526316,3.12,2025-02-07,2025-02-07
"[FB] Ciągniki 7R - ruch www",2025-02-07,9,1490,1745,"Wyświetlenia zawartości witryny",1,9.86,9.86,2025-02-07,2025-02-07
"[FB] ASM Ciągniki 6120M",2025-02-07,6,1432,2161,,,,22.91,2025-02-07,2025-02-07
"[FB] Ciągniki Seria 6M - formularz",2025-02-07,15,2754,4875,,,,78.6,2025-02-07,2025-02-07
"[FB] Serwis - kontakty",2025-02-07,1,412,527,,,,4.77,2025-02-07,2025-02-07
"[FB] ASM - Ciągniki 7R - formularz",2025-02-07,4,1559,2589,,,,56.45,2025-02-07,2025-02-07
"[FB]  ASM - Ciągniki – 6195M",2025-02-07,21,3644,5997,,,,94.49,2025-02-07,2025-02-07
"[FB] ASM - Kombajny serii T",2025-02-07,1,112,329,,,,8.82,2025-02-07,2025-02-07
"[FB]  ASM - Kramer",2025-02-07,36,5697,7476,,,,92.69,2025-02-07,2025-02-07
"[FB] ASM Kampania Serwis Oddziały",2025-02-07,29,17923,20392,Zasięg,17923,2.08391452,37.35,2025-02-07,2025-02-07
"[FB] ASM SaMASZ",2025-02-07,,498,706,,,,13.15,2025-02-07,2025-02-07
"[FB] ASM - Kombajn X9",2025-02-07,10,1895,2761,,,,106.12,2025-02-07,2025-02-07
"[FB] Remarketing",2025-02-07,37,7586,12945,"Szacunkowa liczba kliknięć potwierdzających połączenie",6,13.04166667,78.25,2025-02-07,2025-02-07
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-02-07,25,5394,7815,"Kontakty w Meta",3,38.26333333,114.79,2025-02-07,2025-02-07
"[FB] Rolnictwo precyzyjne",2025-02-07,7,1946,3203,,,,86.61,2025-02-07,2025-02-07
"[FB] ASM - Ciągniki 6155M",2025-02-07,10,3178,5068,,,,88.65,2025-02-07,2025-02-07
"[FB] Ciągniki Ogólne - ruch www",2025-02-07,28,2077,2660,"Wyświetlenia strony docelowej",7,2.06857143,14.48,2025-02-07,2025-02-07
"[FB] ASM - OSWN",2025-02-07,48,4607,7472,"Wyświetlenia strony docelowej",27,1.34037037,36.19,2025-02-07,2025-02-07
"[FB] Ciągniki - Używane jak nowe - YU",2025-02-07,20,2061,2655,"Kontakty w Meta",1,39.77,39.77,2025-02-07,2025-02-07
"[FB] Ciągniki 8RX - ruch www",2025-02-07,12,2925,4092,"Wyświetlenia strony docelowej",3,5,15,2025-02-07,2025-02-07
"[FB] ASM - Wydarzenie - Webinar",2025-02-07,8,1557,2091,"Reakcje na zaproszenia na wydarzenia",3,4.71666667,14.15,2025-02-07,2025-02-07
"[FB] Kosiarki - ruch www",2025-02-07,16,1850,2242,"Wyświetlenia strony docelowej",6,2.44833333,14.69,2025-02-07,2025-02-07
"[FB] Ciągniki - Seria 5 - ruch www",2025-02-07,18,1884,2201,"Wyświetlenia strony docelowej",4,2.34,9.36,2025-02-07,2025-02-07
"[FB] Vaderstad - uprawowe - ruch www",2025-02-07,19,2883,3796,"Wyświetlenia strony docelowej",9,1.51222222,13.61,2025-02-07,2025-02-07
"[FB] Vaderstad - uprawowe - konwersje www",2025-02-07,11,1028,1747,generate_lead,1,23.54,23.54,2025-02-07,2025-02-07
"[FB] Części - połączenia",2025-02-07,16,2880,4276,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,22.94,22.94,2025-02-07,2025-02-07
"[FB] ASM - Umów się na testy - ruch www",2025-02-07,3,1593,1728,"Wyświetlenia strony docelowej",2,3.685,7.37,2025-02-07,2025-02-07
"[FB] ASM - Umów się na testy - konwersje www",2025-02-07,2,555,620,,,,6.35,2025-02-07,2025-02-07
"[FB] Opryskiwacze - ruch www",2025-02-07,5,2310,2713,"Wyświetlenia strony docelowej",6,1.63166667,9.79,2025-02-07,2025-02-07
"[FB] Ciągniki 9RX - ruch www",2025-02-07,47,2845,3245,"Wyświetlenia strony docelowej",33,0.44212121,14.59,2025-02-07,2025-02-07
"[FB] Prasy",2025-02-07,6,1353,1849,,,,58.96,2025-02-07,2025-02-07
"[FB] Monosem - kontakty",2025-02-07,2,1103,1369,,,,13.54,2025-02-07,2025-02-07
"[FB] Oddziały - zasięg",2025-02-07,,14473,15731,Zasięg,14473,2.83838872,41.08,2025-02-07,2025-02-07
"[FB] Kombajn popokazowy - ruch www - YU",2025-02-07,11,576,1615,"Wyświetlenia strony docelowej",7,2.01142857,14.08,2025-02-07,2025-02-07
"[FB] Joskin - konwersje www",2025-02-07,2,602,815,,,,10.15,2025-02-07,2025-02-07
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-02-07,25,2404,2713,"Wyświetlenia strony docelowej",19,0.80421053,15.28,2025-02-07,2025-02-07
"[FB] Monosem - ruch www",2025-02-07,17,2573,2916,"Wyświetlenia strony docelowej",7,2.02571429,14.18,2025-02-07,2025-02-07
"[FB] Joskin - wyprzedaż",2025-02-07,9,881,1140,,,,16.86,2025-02-07,2025-02-07
"[FB] Kramer - ruch www",2025-02-07,20,2928,3747,"Wyświetlenia strony docelowej",13,1.19923077,15.59,2025-02-07,2025-02-07
"[FB] Skontakuj się z nami - messenger",2025-02-07,5,444,649,,,,4,2025-02-07,2025-02-07
"[FB] Ciągniki 8RX - formularz",2025-02-07,1,800,1188,,,,26.99,2025-02-07,2025-02-07
"[FB] Ciągniki 6M250 - ruch www",2025-02-07,26,5691,7032,"Wyświetlenia strony docelowej",16,1.845,29.52,2025-02-07,2025-02-07
"[FB] Serwis - ruch www",2025-02-06,8,1206,1660,"Wyświetlenia strony docelowej",6,0.86666667,5.2,2025-02-06,2025-02-06
"[FB] Ciągniki 7R - ruch www",2025-02-06,13,1667,1889,"Wyświetlenia zawartości witryny",1,9.9,9.9,2025-02-06,2025-02-06
"[FB] Seriws - zasięg",2025-02-06,,17,21,Zasięg,17,47.05882353,0.8,2025-02-06,2025-02-06
"[FB] ASM - OSWN",2025-02-06,34,4283,7218,"Wyświetlenia strony docelowej",21,1.72809524,36.29,2025-02-06,2025-02-06
"[FB] Serwis - połączenia",2025-02-06,5,1818,2242,,,,9.01,2025-02-06,2025-02-06
"[FB] Kverneland",2025-02-06,2,775,1034,,,,18.28,2025-02-06,2025-02-06
"[FB] Kombajny - popokazowy - formularz - YU",2025-02-06,5,566,733,,,,13.76,2025-02-06,2025-02-06
"[FB] ASM Pagelike",2025-02-06,4,1832,2315,"Obserwatorzy lub polubienia na Facebooku",2,5.705,11.41,2025-02-06,2025-02-06
"[FB] Ciągniki Seria 6M - formularz",2025-02-06,16,2581,4915,"Kontakty w Meta",2,44.58,89.16,2025-02-06,2025-02-06
"[FB] ASM Ciągniki 6120M",2025-02-06,4,1682,2687,,,,25.19,2025-02-06,2025-02-06
"[FB] ASM Kampania Serwis Oddziały",2025-02-06,21,17789,21881,Zasięg,17789,2.02484682,36.02,2025-02-06,2025-02-06
"[FB] ASM Vaderstad finansowanie",2025-02-06,4,666,938,,,,17.07,2025-02-06,2025-02-06
"[FB] ASM - Ciągniki 7R - formularz",2025-02-06,10,2002,3229,"Kontakty w Meta",1,58.65,58.65,2025-02-06,2025-02-06
"[FB]  ASM - Ciągniki – 6195M",2025-02-06,33,3214,5430,"Kontakty w Meta",1,89.43,89.43,2025-02-06,2025-02-06
"[FB] ASM - Kombajny serii T",2025-02-06,5,116,331,,,,9.95,2025-02-06,2025-02-06
"[FB]  ASM - Kramer",2025-02-06,41,6309,8131,,,,99.29,2025-02-06,2025-02-06
"[FB] ASM SaMASZ",2025-02-06,2,629,972,,,,15.18,2025-02-06,2025-02-06
"[FB] ASM - Kombajn X9",2025-02-06,11,2420,3538,,,,101.7,2025-02-06,2025-02-06
"[FB] Remarketing",2025-02-06,54,7142,12771,"Szacunkowa liczba kliknięć potwierdzających połączenie",3,24.98666667,74.96,2025-02-06,2025-02-06
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-02-06,15,5447,8009,,,,112.77,2025-02-06,2025-02-06
"[FB] Rolnictwo precyzyjne",2025-02-06,16,2270,3785,,,,86.31,2025-02-06,2025-02-06
"[FB] Serwis - kontakty",2025-02-06,2,541,716,,,,4.63,2025-02-06,2025-02-06
"[FB] Ciągniki Ogólne - ruch www",2025-02-06,23,2134,2639,"Wyświetlenia strony docelowej",8,1.9275,15.42,2025-02-06,2025-02-06
"[FB] ASM - Ciągniki 6155M",2025-02-06,11,3243,5660,"Kontakty w Meta",1,93.05,93.05,2025-02-06,2025-02-06
"[FB] Ciągniki - Używane jak nowe - YU",2025-02-06,14,1914,2627,"Kontakty w Meta",1,42.07,42.07,2025-02-06,2025-02-06
"[FB] Ciągniki 9RX - ruch www",2025-02-06,39,2903,3339,"Wyświetlenia strony docelowej",18,0.81,14.58,2025-02-06,2025-02-06
"[FB] Skontakuj się z nami - messenger",2025-02-06,7,441,641,,,,4.06,2025-02-06,2025-02-06
"[FB] ASM - Wydarzenie - Webinar",2025-02-06,9,1549,2304,"Reakcje na zaproszenia na wydarzenia",4,3.3725,13.49,2025-02-06,2025-02-06
"[FB] Prasy",2025-02-06,12,2287,3053,,,,58.04,2025-02-06,2025-02-06
"[FB] Kosiarki - ruch www",2025-02-06,19,1789,2086,"Wyświetlenia strony docelowej",9,1.68666667,15.18,2025-02-06,2025-02-06
"[FB] Ciągniki - Seria 5 - ruch www",2025-02-06,25,2747,3008,"Wyświetlenia strony docelowej",8,1.24625,9.97,2025-02-06,2025-02-06
"[FB] Vaderstad - uprawowe - ruch www",2025-02-06,23,3085,4194,"Wyświetlenia strony docelowej",17,0.87529412,14.88,2025-02-06,2025-02-06
"[FB] Vaderstad - uprawowe - konwersje www",2025-02-06,8,731,1177,,,,15.61,2025-02-06,2025-02-06
"[FB] ASM - Umów się na testy - ruch www",2025-02-06,21,5162,6552,"Wyświetlenia strony docelowej",14,2.12357143,29.73,2025-02-06,2025-02-06
"[FB] ASM - Umów się na testy - konwersje www",2025-02-06,8,2293,3248,generate_lead,1,28.17,28.17,2025-02-06,2025-02-06
"[FB] Opryskiwacze - ruch www",2025-02-06,8,2172,2676,"Wyświetlenia strony docelowej",2,5.005,10.01,2025-02-06,2025-02-06
"[FB] Części - połączenia",2025-02-06,16,2673,4263,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,11.555,23.11,2025-02-06,2025-02-06
"[FB] Ciągniki 8RX - ruch www",2025-02-06,16,2766,4021,"Wyświetlenia strony docelowej",11,1.36454545,15.01,2025-02-06,2025-02-06
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-02-06,22,2434,2752,"Wyświetlenia strony docelowej",11,1.29090909,14.2,2025-02-06,2025-02-06
"[FB] Monosem - kontakty",2025-02-06,6,1164,1421,,,,14.86,2025-02-06,2025-02-06
"[FB] Kramer - ruch www",2025-02-06,13,2740,3526,"Wyświetlenia strony docelowej",7,2.18,15.26,2025-02-06,2025-02-06
"[FB] Joskin - wyprzedaż",2025-02-06,7,825,1165,,,,16.26,2025-02-06,2025-02-06
"[FB] Monosem - ruch www",2025-02-06,15,2294,2631,"Wyświetlenia strony docelowej",8,1.8975,15.18,2025-02-06,2025-02-06
"[FB] Ciągniki 8RX - formularz",2025-02-06,3,858,1280,"Kontakty w Meta",1,28.01,28.01,2025-02-06,2025-02-06
"[FB] Joskin - konwersje www",2025-02-06,2,587,811,,,,9.54,2025-02-06,2025-02-06
"[FB] Kombajn popokazowy - ruch www - YU",2025-02-06,4,733,1836,"Wyświetlenia strony docelowej",1,14.87,14.87,2025-02-06,2025-02-06
"[FB] Oddziały - zasięg",2025-02-06,,14587,15573,Zasięg,14587,2.70309179,39.43,2025-02-06,2025-02-06
"[FB] Ciągniki 6M250 - ruch www",2025-02-06,26,5307,6625,"Wyświetlenia strony docelowej",14,2.14285714,30,2025-02-06,2025-02-06
"[FB] Ciągniki Seria 6M - formularz",2025-02-05,7,2451,4333,,,,79.97,2025-02-05,2025-02-05
"[FB] Ciągniki Ogólne - ruch www",2025-02-05,19,2069,2529,"Wyświetlenia strony docelowej",12,1.15583333,13.87,2025-02-05,2025-02-05
"[FB] ASM - OSWN",2025-02-05,22,4684,7110,"Wyświetlenia strony docelowej",12,2.7725,33.27,2025-02-05,2025-02-05
"[FB] ASM Pagelike",2025-02-05,4,2171,2619,"Obserwatorzy lub polubienia na Facebooku",3,4.01333333,12.04,2025-02-05,2025-02-05
"[FB] Kombajny - popokazowy - formularz - YU",2025-02-05,1,486,597,,,,13.53,2025-02-05,2025-02-05
"[FB] Kverneland",2025-02-05,1,686,1003,,,,20.61,2025-02-05,2025-02-05
"[FB] Serwis - połączenia",2025-02-05,12,2113,2560,"Szacunkowa liczba kliknięć potwierdzających połączenie",3,3.25666667,9.77,2025-02-05,2025-02-05
"[FB] Serwis - ruch www",2025-02-05,6,1145,1494,"Wyświetlenia strony docelowej",6,0.825,4.95,2025-02-05,2025-02-05
"[FB] Seriws - zasięg",2025-02-05,,23,24,Zasięg,23,56.52173913,1.3,2025-02-05,2025-02-05
"[FB] Ciągniki 7R - ruch www",2025-02-05,3,1485,1721,"Wyświetlenia zawartości witryny",1,9.06,9.06,2025-02-05,2025-02-05
"[FB] ASM Ciągniki 6120M",2025-02-05,14,1607,2852,,,,26.25,2025-02-05,2025-02-05
"[FB] ASM - Ciągniki 6155M",2025-02-05,20,2563,4785,,,,89.68,2025-02-05,2025-02-05
"[FB] ASM Vaderstad finansowanie",2025-02-05,,569,801,,,,17.06,2025-02-05,2025-02-05
"[FB] ASM - Ciągniki 7R - formularz",2025-02-05,4,1584,2831,,,,57.3,2025-02-05,2025-02-05
"[FB]  ASM - Ciągniki – 6195M",2025-02-05,28,3610,6097,"Kontakty w Meta",1,111.43,111.43,2025-02-05,2025-02-05
"[FB] ASM - Kombajny serii T",2025-02-05,2,83,274,,,,8.46,2025-02-05,2025-02-05
"[FB]  ASM - Kramer",2025-02-05,48,7116,9401,"Kontakty w Meta",2,52.135,104.27,2025-02-05,2025-02-05
"[FB] ASM Kampania Serwis Oddziały",2025-02-05,22,19138,22379,Zasięg,19138,1.94900199,37.3,2025-02-05,2025-02-05
"[FB] ASM SaMASZ",2025-02-05,3,538,793,,,,13.96,2025-02-05,2025-02-05
"[FB] ASM - Kombajn X9",2025-02-05,13,2688,4219,,,,112.71,2025-02-05,2025-02-05
"[FB] Remarketing",2025-02-05,55,7657,13114,"Szacunkowa liczba kliknięć potwierdzających połączenie",3,25.81333333,77.44,2025-02-05,2025-02-05
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-02-05,18,5147,7371,,,,116.43,2025-02-05,2025-02-05
"[FB] Rolnictwo precyzyjne",2025-02-05,12,2336,3796,,,,83.93,2025-02-05,2025-02-05
"[FB] Serwis - kontakty",2025-02-05,,563,715,,,,5.11,2025-02-05,2025-02-05
"[FB] Ciągniki - Używane jak nowe - YU",2025-02-05,18,2047,2670,,,,46.61,2025-02-05,2025-02-05
"[FB] Skontakuj się z nami - messenger",2025-02-05,10,821,1149,"Rozpoczęte konwersacje poprzez wiadomości",1,6,6,2025-02-05,2025-02-05
"[FB] Opryskiwacze - ruch www",2025-02-05,14,2311,2766,"Wyświetlenia strony docelowej",9,1.09888889,9.89,2025-02-05,2025-02-05
"[FB] Ciągniki 8RX - formularz",2025-02-05,2,775,1308,,,,26.83,2025-02-05,2025-02-05
"[FB] ASM - Wydarzenie - Webinar",2025-02-05,5,1631,2341,"Reakcje na zaproszenia na wydarzenia",4,3.38,13.52,2025-02-05,2025-02-05
"[FB] Prasy",2025-02-05,8,2322,3469,,,,51.68,2025-02-05,2025-02-05
"[FB] Kosiarki - ruch www",2025-02-05,21,1875,2256,"Wyświetlenia strony docelowej",10,1.386,13.86,2025-02-05,2025-02-05
"[FB] Ciągniki - Seria 5 - ruch www",2025-02-05,25,2839,3232,"Wyświetlenia strony docelowej",11,0.82909091,9.12,2025-02-05,2025-02-05
"[FB] Vaderstad - uprawowe - ruch www",2025-02-05,23,3510,4516,"Wyświetlenia strony docelowej",16,0.939375,15.03,2025-02-05,2025-02-05
"[FB] Części - połączenia",2025-02-05,23,3401,4877,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,24.08,24.08,2025-02-05,2025-02-05
"[FB] ASM - Umów się na testy - ruch www",2025-02-05,26,5534,6793,"Wyświetlenia strony docelowej",20,1.4455,28.91,2025-02-05,2025-02-05
"[FB] ASM - Umów się na testy - konwersje www",2025-02-05,8,2346,3401,,,,32.66,2025-02-05,2025-02-05
"[FB] Vaderstad - uprawowe - konwersje www",2025-02-05,2,685,1041,generate_lead,1,17.46,17.46,2025-02-05,2025-02-05
"[FB] Ciągniki 9RX - ruch www",2025-02-05,44,2903,3271,"Wyświetlenia strony docelowej",33,0.43212121,14.26,2025-02-05,2025-02-05
"[FB] Joskin - konwersje www",2025-02-05,2,612,789,,,,10.53,2025-02-05,2025-02-05
"[FB] Ciągniki 8RX - ruch www",2025-02-05,17,2883,3765,"Wyświetlenia strony docelowej",7,2.06571429,14.46,2025-02-05,2025-02-05
"[FB] Joskin - wyprzedaż",2025-02-05,4,1164,1470,,,,21.43,2025-02-05,2025-02-05
"[FB] Monosem - ruch www",2025-02-05,9,2421,2703,"Wyświetlenia strony docelowej",4,3.54,14.16,2025-02-05,2025-02-05
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-02-05,20,2174,2527,"Wyświetlenia strony docelowej",14,0.92714286,12.98,2025-02-05,2025-02-05
"[FB] Kramer - ruch www",2025-02-05,16,2422,2846,"Wyświetlenia strony docelowej",8,1.6325,13.06,2025-02-05,2025-02-05
